fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
DSP Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,23119.0,2.28,7.8,19.78,25.0,1.5,16.05,-1.45,0.92
DSP Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,668.0,0.93,16.52,15.27,27.08,1.98,18.84,3.97,1.05
DSP Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,916.0,2.06,34.12,23.73,23.54,1.37,18.11,5.36,1.06
DSP ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,4954.0,2.34,31.96,24.27,24.25,1.96,14.33,-1.66,1.06
DSP Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,4745.0,1.77,16.69,21.73,14.97,1.97,14.71,5.62,1.0
DSP Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,6693.0,1.83,15.39,21.75,18.44,0.88,14.45,4.11,0.98
DSP Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,44712.0,0.16,21.81,14.37,16.36,0.82,11.52,-0.07,1.0
DSP Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,1697.0,0.16,21.2,18.87,13.14,1.18,19.28,-0.14,0.99
DSP Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,6751.0,0.26,7.53,11.69,16.99,1.35,17.37,0.23,0.99
DSP Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,24339.0,0.45,5.23,14.23,16.12,0.58,20.67,0.27,1.0
DSP Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,6361.0,0.36,8.79,18.62,20.85,1.11,14.06,0.46,1.01
DSP Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,24864.0,1.51,14.51,12.98,27.19,0.43,15.41,-0.7,0.82
DSP International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,6453.0,0.77,15.98,21.75,13.87,1.7,23.82,2.47,0.89
DSP Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,3932.0,0.57,7.03,5.58,5.66,2.12,0.9,0.11,0.03
Franklin India Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,40559.0,1.29,20.58,10.95,12.27,0.79,11.46,-1.5,0.93
Franklin India Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,27124.0,1.33,30.65,24.96,21.25,1.89,14.25,0.93,0.99
Franklin India Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,728.0,2.17,29.68,18.1,23.14,1.83,25.45,8.38,0.85
Franklin India Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,46964.0,2.21,14.62,19.46,23.9,1.37,14.03,0.65,1.0
Franklin India Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,15433.0,2.01,30.11,20.03,15.0,1.95,14.98,-0.7,0.89
Franklin India Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8578.0,1.5,18.02,28.85,20.43,1.24,15.67,1.59,0.95
Franklin India ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,35069.0,0.88,10.45,17.82,19.79,1.07,13.07,2.27,0.92
Franklin India Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,350.0,2.19,31.63,13.16,29.98,2.1,15.41,6.85,1.02
Franklin India Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,18949.0,0.57,16.37,14.6,13.44,0.85,16.21,1.48,0.81
Franklin India Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,17982.0,0.25,8.15,20.34,17.02,0.75,20.38,-0.94,0.98
Franklin India Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,36572.0,0.42,13.68,12.51,22.38,1.58,13.6,-0.12,0.98
Franklin India Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,39038.0,0.17,13.01,14.69,11.51,0.76,20.76,-0.23,1.01
Franklin India Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,13553.0,0.05,5.68,14.95,12.0,0.55,21.97,-0.76,0.98
Franklin India Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,20229.0,0.04,22.85,14.76,17.86,1.16,11.4,0.16,0.99
Franklin India Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,28826.0,0.3,21.83,20.41,22.44,0.51,21.58,0.65,0.98
Franklin India Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,26833.0,1.3,30.22,12.78,15.57,0.8,20.39,7.59,0.98
Franklin India IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,16340.0,2.44,49.47,20.37,23.47,0.44,18.58,0.89,1.14
Franklin India International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,1139.0,0.59,38.0,11.79,21.12,1.32,20.92,5.36,1.09
Franklin India Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,5720.0,0.37,6.76,6.52,6.53,2.97,0.65,0.39,0.1
UTI Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,30685.0,1.82,5.78,15.31,21.63,1.56,13.85,3.88,1.03
UTI Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,9444.0,2.14,27.36,26.42,26.17,1.09,19.67,1.43,0.9
UTI Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,11810.0,0.89,19.87,14.39,36.54,1.37,20.67,2.22,0.98
UTI Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,25864.0,2.07,7.6,12.92,27.77,0.68,15.79,1.37,0.94
UTI Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,13214.0,1.86,26.45,21.33,15.97,1.08,18.54,5.7,0.94
UTI Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,7509.0,1.38,10.33,20.41,17.62,1.92,20.24,5.36,0.91
UTI ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,26265.0,2.09,21.61,21.43,16.21,1.63,13.39,0.96,0.9
UTI Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,2890.0,2.29,20.96,27.18,28.72,1.0,15.66,2.9,0.94
UTI Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,11174.0,0.75,17.35,11.85,20.5,1.0,16.66,4.48,0.86
UTI Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,9126.0,1.78,15.25,20.6,12.73,0.95,12.0,-0.4,0.96
UTI Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,182.0,0.27,11.09,20.73,20.24,0.59,11.36,1.0,1.02
UTI Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,29038.0,0.06,14.34,12.16,20.36,1.56,12.63,0.81,1.0
UTI Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,32344.0,0.41,21.23,15.38,23.34,0.75,20.78,-0.54,1.01
UTI Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,27996.0,0.43,10.04,21.9,12.01,1.01,13.75,-0.95,0.99
UTI Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,9292.0,0.18,24.53,21.61,19.8,1.37,11.43,0.66,1.02
UTI Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,18578.0,0.19,12.3,11.44,18.76,0.87,15.56,0.89,1.02
UTI Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,12028.0,0.31,22.36,18.55,14.84,0.51,21.63,0.31,1.01
UTI Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,22527.0,1.74,38.1,34.01,29.78,1.33,27.48,5.05,0.8
UTI IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,7117.0,0.65,29.21,39.84,19.91,2.05,21.11,6.21,1.19
UTI Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,6935.0,2.38,21.01,20.58,20.78,0.99,18.8,2.54,0.87
UTI Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,15730.0,2.12,43.22,13.88,37.66,2.3,20.09,4.7,1.15
UTI Consumption Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,25572.0,2.27,15.11,15.86,42.04,1.64,23.47,3.69,1.03
UTI Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,392.0,0.5,7.79,6.53,6.51,2.44,1.54,-0.42,0.05
Aditya Birla SL Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,49146.0,1.58,16.2,12.21,12.93,1.06,13.49,1.1,0.97
Aditya Birla SL Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,9958.0,0.79,34.51,27.17,16.9,1.68,15.06,-0.51,1.09
Aditya Birla SL Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,7410.0,1.67,37.79,27.94,36.28,2.19,19.34,-1.44,0.85
Aditya Birla SL Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,53475.0,1.65,20.25,24.84,25.86,1.2,14.79,4.49,0.96
Aditya Birla SL Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,4601.0,0.65,29.89,18.92,17.75,1.97,16.48,-0.72,0.99
Aditya Birla SL Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,14146.0,2.33,14.93,14.75,16.57,1.2,15.36,-0.99,0.94
Aditya Birla SL ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,31665.0,2.1,24.06,18.48,16.94,1.98,15.31,3.78,0.91
Aditya Birla SL Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,2750.0,1.17,19.62,13.63,24.99,2.05,15.93,0.23,0.99
Aditya Birla SL Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,2411.0,1.79,21.17,19.94,17.54,0.61,14.95,2.59,0.83
Aditya Birla SL Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,9577.0,1.25,19.79,22.99,17.57,1.64,16.7,-0.18,0.91
Aditya Birla SL Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,2872.0,2.2,23.16,15.48,15.32,1.35,11.16,1.8,0.78
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,34986.0,0.29,22.47,19.04,18.52,1.22,19.76,-0.09,1.01
Aditya Birla SL Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,3359.0,0.1,19.9,19.77,17.23,1.28,12.97,0.25,1.01
Aditya Birla SL Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,38950.0,0.47,10.62,19.36,20.6,0.83,17.79,-0.23,1.0
Aditya Birla SL Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,21721.0,0.33,20.56,15.01,14.04,1.24,10.34,0.86,1.0
Aditya Birla SL Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,16120.0,0.17,11.2,20.16,13.75,0.99,12.28,-0.7,1.0
Aditya Birla SL Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,2411.0,0.43,12.51,20.74,17.36,1.31,13.89,0.4,1.01
Aditya Birla SL Nifty 100 ETF,Index Fund,EQ-ETF,Equity : ETF,5736.0,0.02,11.52,20.97,14.69,0.54,15.53,-0.64,1.01
Aditya Birla SL Midcap Select ETF,Index Fund,EQ-ETF,Equity : ETF,24826.0,0.43,7.87,10.8,13.41,1.27,16.03,0.49,1.0
Aditya Birla SL Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,15545.0,1.75,28.41,17.14,24.35,0.58,27.57,7.9,0.93
Aditya Birla SL IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,29431.0,2.24,21.0,32.29,43.81,0.68,25.99,-2.95,1.1
Aditya Birla SL Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,5549.0,2.23,47.2,25.38,25.3,0.91,29.66,9.14,1.2
Aditya Birla SL Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,23830.0,2.04,8.27,31.21,17.31,1.89,29.2,-2.28,0.76
Aditya Birla SL Consumption Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,7892.0,1.59,47.99,31.41,32.75,1.37,22.0,-0.42,1.22
Aditya Birla SL International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,6788.0,0.5,6.79,21.9,27.39,1.68,24.25,5.23,1.08
Aditya Birla SL Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,9456.0,0.63,6.02,5.33,5.08,1.95,0.64,-0.14,0.09
Tata Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,28463.0,2.11,23.74,11.72,13.75,1.01,14.83,1.71,0.87
Tata Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,3422.0,0.95,13.37,21.41,27.84,1.83,14.35,-0.8,1.05
Tata Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,23027.0,1.76,12.34,16.45,38.24,1.63,22.75,5.32,1.13
Tata Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,29594.0,1.29,9.11,13.28,26.21,1.34,13.75,5.98,0.99
Tata Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,11432.0,1.45,7.33,13.42,29.36,1.23,17.91,1.42,1.01
Tata Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8789.0,1.02,10.3,20.93,25.06,1.73,14.29,2.11,1.0
Tata ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,21842.0,0.68,23.18,18.76,26.04,1.79,17.26,3.29,0.92
Tata Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,10640.0,1.83,26.73,19.9,20.98,1.61,18.75,5.22,1.05
Tata Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,11970.0,0.74,16.48,16.88,17.38,1.66,16.31,-1.7,0.99
Tata Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,14574.0,2.03,15.22,12.14,22.84,1.7,15.94,1.71,1.04
Tata Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,8528.0,1.62,17.07,11.0,19.01,1.59,14.04,2.87,0.92
Tata Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,3321.0,0.11,24.14,14.95,22.4,1.17,21.07,0.53,0.99
Tata Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,33017.0,0.13,26.84,13.72,14.87,1.29,21.87,0.09,1.0
Tata Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,1132.0,0.06,20.49,9.26,11.88,1.19,10.47,-0.66,0.98
Tata Nifty Midcap 150 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,23313.0,0.08,8.37,10.18,21.01,1.05,10.94,0.11,1.0
Tata Nifty Smallcap 250 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,10043.0,0.22,12.39,19.52,12.8,1.49,10.45,0.74,0.99
Tata Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,15925.0,0.2,15.34,10.94,11.63,1.46,19.24,-0.58,0.98
Tata Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,20715.0,0.04,22.25,16.16,19.93,1.59,19.23,-0.55,0.99
Tata Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,3860.0,0.35,7.96,10.82,11.98,0.99,20.91,0.89,1.01
Tata Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,5375.0,0.7,9.24,12.27,43.47,0.8,22.82,-1.51,1.17
Tata IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,27633.0,1.73,29.86,34.48,18.58,2.42,21.94,-0.28,0.98
Tata Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,24436.0,1.89,28.05,20.64,36.79,1.81,23.89,-2.75,0.78
Tata Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,520.0,0.92,7.39,6.11,6.92,1.44,0.53,-0.48,0.07
Motilal Oswal Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,57502.0,2.09,15.84,12.2,15.28,1.76,15.45,-0.06,0.97
Motilal Oswal Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,20878.0,1.67,11.84,25.75,20.39,1.58,15.35,2.83,0.91
Motilal Oswal Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,11130.0,1.69,40.85,22.28,37.17,1.1,17.47,7.14,1.0
Motilal Oswal Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,35722.0,1.4,13.48,13.09,13.6,0.87,16.08,3.25,0.93
Motilal Oswal Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,12833.0,1.64,31.1,14.2,27.85,1.89,18.52,1.24,0.96
Motilal Oswal Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,3409.0,1.74,29.52,22.77,16.43,0.87,14.71,1.31,1.05
Motilal Oswal ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,15221.0,1.17,20.17,16.81,18.08,1.23,12.92,-0.07,0.99
Motilal Oswal Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,7909.0,1.99,26.46,20.15,19.5,0.82,17.42,3.99,0.98
Motilal Oswal Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,2970.0,1.35,25.7,14.78,22.15,1.27,12.02,-1.63,0.88
Motilal Oswal Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,29053.0,0.48,19.79,17.77,16.45,1.54,13.03,0.12,1.0
Motilal Oswal Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,49533.0,0.3,14.44,19.73,20.42,1.18,19.02,-0.33,1.01
Motilal Oswal Nifty 100 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,5031.0,0.32,20.38,16.34,12.1,1.53,15.31,0.17,0.99
Motilal Oswal Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,4584.0,0.42,7.01,14.63,14.26,0.91,19.24,-0.2,0.99
Motilal Oswal Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,12107.0,0.22,5.39,20.48,20.54,0.6,16.52,-0.92,1.02
Motilal Oswal Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,15608.0,0.02,22.1,13.71,23.25,1.4,10.46,-0.05,0.98
Motilal Oswal Nifty 100 ETF,Index Fund,EQ-ETF,Equity : ETF,5478.0,0.06,8.46,10.31,20.37,1.35,18.36,0.4,0.99
Motilal Oswal Midcap Select ETF,Index Fund,EQ-ETF,Equity : ETF,23550.0,0.05,15.13,14.58,12.12,1.36,16.45,0.75,1.01
Motilal Oswal Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,12249.0,1.41,22.77,12.3,16.59,1.27,20.14,1.82,1.03
Motilal Oswal IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,8611.0,2.05,8.12,24.59,27.12,2.46,16.05,6.21,1.05
Motilal Oswal Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,8437.0,2.19,28.6,12.78,17.04,0.78,20.23,8.18,1.09
Motilal Oswal Infrastructure Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,4089.0,2.3,49.99,30.58,15.11,1.61,25.98,0.62,0.9
Motilal Oswal International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,6773.0,1.26,15.05,15.59,33.05,1.27,16.14,0.6,0.91
Canara Robeco Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,34498.0,0.98,17.14,14.45,23.64,1.44,14.43,-1.41,1.05
Canara Robeco Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,13741.0,1.82,21.66,23.05,27.39,1.61,19.58,0.74,1.05
Canara Robeco Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,3564.0,1.56,21.04,25.18,32.84,0.97,18.08,-1.41,1.14
Canara Robeco Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,1109.0,1.47,22.84,22.77,16.92,1.44,13.29,1.45,0.95
Canara Robeco Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,13258.0,1.32,7.5,20.14,13.77,1.24,17.13,0.81,0.93
Canara Robeco Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,7938.0,2.12,10.81,19.56,16.9,1.54,20.01,2.55,0.98
Canara Robeco ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,8049.0,0.57,18.28,22.61,14.37,1.46,13.38,1.02,1.03
Canara Robeco Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,7470.0,1.92,10.95,13.89,23.54,2.15,12.89,1.67,0.96
Canara Robeco Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,2378.0,0.66,28.96,16.15,20.3,0.54,14.07,0.29,0.81
Canara Robeco Contra Fund-Reg(G),Equity MF,EQ-CONT,Equity : Contra,444.0,2.38,23.97,20.69,12.91,1.37,16.04,2.6,0.91
Canara Robeco Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,49224.0,0.26,14.62,17.9,19.82,1.06,17.41,-0.98,0.99
Canara Robeco Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,17172.0,0.15,15.57,11.92,21.35,1.23,19.35,0.89,1.02
Canara Robeco Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,3794.0,0.44,12.41,20.73,12.1,0.76,20.47,-0.08,0.99
Canara Robeco Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,1389.0,1.07,22.67,35.51,24.74,1.7,17.96,6.51,1.04
Canara Robeco Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,616.0,1.05,7.28,6.87,5.8,1.36,1.98,-0.24,0.09
PGIM India Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,79651.0,0.62,16.5,14.2,21.39,1.32,10.1,0.6,1.01
PGIM India Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,444.0,2.3,9.9,15.93,27.42,1.26,19.96,1.88,0.98
PGIM India Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,2656.0,1.26,39.23,15.93,36.86,2.11,20.29,8.76,1.14
PGIM India Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,16255.0,1.14,9.17,14.7,13.16,1.31,15.01,5.03,0.86
PGIM India Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,10482.0,2.06,26.75,25.61,23.58,0.62,13.57,2.92,0.99
PGIM India Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,13068.0,1.43,30.78,26.71,14.57,1.17,15.08,1.95,0.94
PGIM India ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,7568.0,2.14,21.15,16.4,26.78,1.54,15.9,0.15,0.94
PGIM India Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,8772.0,1.81,6.34,21.44,26.43,1.83,18.29,5.0,1.02
PGIM India Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,9760.0,0.94,20.17,13.82,19.15,1.66,15.75,-1.96,0.84
PGIM India Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,20902.0,0.4,20.94,11.79,17.35,0.55,15.35,0.57,0.99
PGIM India Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,2534.0,0.1,8.79,12.69,23.05,1.14,21.01,-0.12,1.02
PGIM India Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,17138.0,0.07,22.33,17.07,15.94,0.91,14.9,-0.31,1.0
PGIM India Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,2516.0,0.1,22.29,10.25,23.18,0.56,20.42,0.21,1.02
PGIM India Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,26294.0,1.0,13.21,10.09,39.02,2.35,23.29,6.27,1.07
PGIM India IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,15401.0,2.02,31.07,30.07,21.67,1.51,16.73,5.49,1.25
PGIM India Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,13860.0,0.93,38.69,22.22,28.63,1.53,25.3,-2.26,1.18
PGIM India International Fund-Reg(G),Equity MF,EQ-INT,Equity : International,5935.0,1.08,21.95,24.51,30.03,1.98,18.98,2.65,0.95
PGIM India Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,442.0,0.54,6.54,5.68,5.03,1.35,1.61,0.32,0.03
Sundaram Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,4213.0,2.08,25.46,15.77,17.5,1.92,13.38,3.39,0.94
Sundaram Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,28639.0,0.75,34.82,19.27,16.65,1.95,13.35,5.28,1.02
Sundaram Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,17032.0,1.21,35.05,28.27,20.24,1.99,17.44,7.33,1.12
Sundaram Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,16742.0,1.43,12.58,20.79,15.5,1.18,11.62,5.34,1.08
Sundaram Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,5884.0,1.41,29.45,22.61,20.98,0.96,18.04,5.78,0.99
Sundaram Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,11998.0,2.25,25.24,13.86,30.86,1.36,13.67,6.7,0.97
Sundaram ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,39060.0,0.56,13.0,11.29,20.31,1.73,16.85,-1.33,1.08
Sundaram Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,10918.0,1.24,30.33,26.8,27.47,1.22,15.81,3.11,0.85
Sundaram Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,17719.0,1.61,25.27,13.21,15.7,1.18,11.44,-0.54,0.84
Sundaram Dividend Yield Fund-Reg(G),Equity MF,EQ-DIV,Equity : Dividend Yield,5697.0,1.69,18.42,10.87,24.0,0.81,12.25,2.17,0.97
